symbol,name,exchange,type
XYZ,Block  Inc.,New York Stock Exchange,stock
BRK-B,Berkshire Hathaway Inc.,New York Stock Exchange,stock
ZEPP,Zepp Health Corporation,New York Stock Exchange,stock
MBC,MasterBrand  Inc.,New York Stock Exchange,stock
PWRD,TCW ETF Trust - TCW Transform Systems ETF,New York Stock Exchange,stock
CDE,Coeur Mining  Inc.,New York Stock Exchange,stock
CCRD,CoreCard Corporation,New York Stock Exchange,stock
APLE,Apple Hospitality REIT  Inc.,New York Stock Exchange,stock
UPS,United Parcel Service  Inc.,New York Stock Exchange,stock
NVR,NVR  Inc.,New York Stock Exchange,stock
PG,The Procter & Gamble Company,New York Stock Exchange,stock
DXYZ,Destiny Tech100 Inc.,New York Stock Exchange,stock
BRK-A,Berkshire Hathaway Inc.,New York Stock Exchange,stock
WOLF,Wolfspeed  Inc.,New York Stock Exchange,stock
C,Citigroup Inc.,New York Stock Exchange,stock
WTM,White Mountains Insurance Group  Ltd.,New York Stock Exchange,stock
FICO,Fair Isaac Corporation,New York Stock Exchange,stock
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,New York Stock Exchange,stock
SOJD,Southern Company (The) Series 2,New York Stock Exchange,stock
BBVA,Banco Bilbao Vizcaya Argentaria  S.A.,New York Stock Exchange,stock
DRCT,Direct Digital Holdings  Inc.,NASDAQ Capital Market,stock
GNK,Genco Shipping & Trading Limited,New York Stock Exchange,stock
SNDL,SNDL Inc.,NASDAQ Capital Market,stock
DY,Dycom Industries  Inc.,New York Stock Exchange,stock
ECC-PD,Eagle Point Credit Company Inc.,New York Stock Exchange,stock
ATEN,A10 Networks  Inc.,New York Stock Exchange,stock
ATI,ATI Inc.,New York Stock Exchange,stock
MSAI,MultiSensor AI Holdings  Inc.,NASDAQ Capital Market,stock
ED,Consolidated Edison  Inc.,New York Stock Exchange,stock
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,New York Stock Exchange,stock
CB,Chubb Limited,New York Stock Exchange,stock
EVTL,Vertical Aerospace Ltd.,New York Stock Exchange,stock
WAL,Western Alliance Bancorporation,New York Stock Exchange,stock
ENS,EnerSys,New York Stock Exchange,stock
ENTA,Enanta Pharmaceuticals  Inc.,NASDAQ Global Select,stock
PBI,Pitney Bowes Inc.,New York Stock Exchange,stock
ATHE,Alterity Therapeutics Limited,NASDAQ Capital Market,stock
WPC,W. P. Carey Inc.,New York Stock Exchange,stock
F-PB,Ford Motor Company 6.20% Notes,New York Stock Exchange,stock
CARS,Cars.com Inc.,New York Stock Exchange,stock
YETI,YETI Holdings  Inc.,New York Stock Exchange,stock
RVTY,Revvity  Inc.,New York Stock Exchange,stock
LBTYK,Liberty Global plc,NASDAQ Global Select,stock
PANL,Pangaea Logistics Solutions  Ltd.,NASDAQ Capital Market,stock
FBRT,Franklin BSP Realty Trust  Inc.,New York Stock Exchange,stock
ALKT,Alkami Technology  Inc.,NASDAQ Global Select,stock
EPR,EPR Properties,New York Stock Exchange,stock
ESRT,Empire State Realty Trust  Inc.,New York Stock Exchange,stock
FCX,Freeport-McMoRan Inc.,New York Stock Exchange,stock
FRME,First Merchants Corporation,NASDAQ Global Select,stock
FC,Franklin Covey Co.,New York Stock Exchange,stock
AGNC,AGNC Investment Corp.,NASDAQ Global Select,stock
BGLC,BioNexus Gene Lab Corp.,NASDAQ Capital Market,stock
BIO,Bio-Rad Laboratories  Inc.,New York Stock Exchange,stock
FRAF,Franklin Financial Services Corporation,NASDAQ Capital Market,stock
ARVN,Arvinas  Inc.,NASDAQ Global Select,stock
BAX,Baxter International Inc.,New York Stock Exchange,stock
WKC,World Kinect Corporation,New York Stock Exchange,stock
DK,Delek US Holdings  Inc.,New York Stock Exchange,stock
AMN,AMN Healthcare Services  Inc.,New York Stock Exchange,stock
MDAI,Spectral AI  Inc.,NASDAQ Capital Market,stock
MFIC,MidCap Financial Investment Corporation,NASDAQ Global Market,stock
AOMR,Angel Oak Mortgage  Inc.,New York Stock Exchange,stock
BRZE,Braze  Inc.,NASDAQ Global Select,stock
NKE,NIKE  Inc.,New York Stock Exchange,stock
MC,Moelis & Company,New York Stock Exchange,stock
CMRE,Costamare Inc.,New York Stock Exchange,stock
MHI,Pioneer Municipal High Income Fund  Inc.,New York Stock Exchange,stock
ABOS,Acumen Pharmaceuticals  Inc.,NASDAQ Global Select,stock
ABSI,Absci Corporation,NASDAQ Global Select,stock
SES,SES AI Corporation,New York Stock Exchange,stock
UCTT,Ultra Clean Holdings  Inc.,NASDAQ Global Select,stock
BBY,Best Buy Co.  Inc.,New York Stock Exchange,stock
HUBB,Hubbell Incorporated,New York Stock Exchange,stock
UHAL-B,U-Haul Holding Company,New York Stock Exchange,stock
UI,Ubiquiti Inc.,New York Stock Exchange,stock
CDXS,Codexis  Inc.,NASDAQ Global Select,stock
CE,Celanese Corporation,New York Stock Exchange,stock
CATY,Cathay General Bancorp,NASDAQ Global Select,stock
CKPT,Checkpoint Therapeutics  Inc.,NASDAQ Capital Market,stock
CL,Colgate-Palmolive Company,New York Stock Exchange,stock
ERJ,Embraer S.A.,New York Stock Exchange,stock
MSM,MSC Industrial Direct Co.  Inc.,New York Stock Exchange,stock
TMHC,Taylor Morrison Home Corporation,New York Stock Exchange,stock
CLSK,CleanSpark  Inc.,NASDAQ Capital Market,stock
ALUR,Allurion Technologies Inc.,New York Stock Exchange,stock
OEC,Orion Engineered Carbons S.A.,New York Stock Exchange,stock
FRST,Primis Financial Corp.,NASDAQ Global Market,stock
CFFI,C&F Financial Corporation,NASDAQ Global Select,stock
MYRG,MYR Group Inc.,NASDAQ Global Select,stock
SHCO,Soho House & Co Inc.,New York Stock Exchange,stock
STN,Stantec Inc.,New York Stock Exchange,stock
CART,Instacart (Maplebear Inc.),NASDAQ Global Market,stock
BGFV,Big 5 Sporting Goods Corporation,NASDAQ Global Select,stock
PRMB,Primo Brands Corporation,New York Stock Exchange,stock
SN,SharkNinja  Inc.,New York Stock Exchange,stock
NAAS,NaaS Technology Inc.,NASDAQ Capital Market,stock
OBK,Origin Bancorp  Inc.,New York Stock Exchange,stock
BFAM,Bright Horizons Family Solutions Inc.,New York Stock Exchange,stock
BGS,B&G Foods  Inc.,New York Stock Exchange,stock
BKV,BKV Corporation,New York Stock Exchange,stock
KRC,Kilroy Realty Corporation,New York Stock Exchange,stock
HPE,Hewlett Packard Enterprise Company,New York Stock Exchange,stock
POOL,Pool Corporation,NASDAQ Global Select,stock
MDWD,MediWound Ltd.,NASDAQ Global Market,stock
GTI,Graphjet Technology Sdn. Bhd.,NASDAQ Global Market,stock
IX,ORIX Corporation,New York Stock Exchange,stock
PATH,UiPath Inc.,New York Stock Exchange,stock
VAL,Valaris Limited,New York Stock Exchange,stock
VRE,Veris Residential  Inc.,New York Stock Exchange,stock
